"study","pathway","NES","pvalue","p.adjust","leading_edge_genes"
"GSE79362","HALLMARK_PI3K_AKT_MTOR_SIGNALING",1.73907860036001,0.000483986180704003,0.0012736478439579,"DUSP3/DAPP1/RALB/STAT2/MYD88/UBE2D3/CDKN1A/TBK1/TNFRSF1A/MKNK1/CAB39/ACTR3/RIT1/GRB2/ACTR2/GSK3B/SQSTM1/SMAD2/ARF1/RPS6KA1/MAPKAP1/MAP2K3/PRKAR2A/SLA/PTEN/E2F1/RIPK1/RAC1/AP2M1/ARPC3"
"GSE79362","HALLMARK_UV_RESPONSE_UP",1.62502179824113,0.00103529181534415,0.00255588018072342,"TAP1/IRF1/ICAM1/SLC6A12/CREG1/GRINA/SOD2/ATF3/MGAT1/CA2/FURIN/RAB27A/ATP6V1C1/GCH1/PRKCD/TMBIM6/LYN/MMP14/DLG4/ALDOA/JUNB/ALAS1/PPT1/CDKN2B/HLA-F/ARRB2/NFKBIA/NUP58/CYB5R1/SQSTM1/DNAJA1/SLC6A8"
"GSE79362","HALLMARK_HYPOXIA",1.5800740807202,0.00107346967590384,0.00255588018072342,"SDC3/TGM2/SIAH2/EXT1/PFKFB3/PIM1/UGP2/GAPDH/ZFP36/ATF3/ERO1A/BNIP3L/CITED2/PLAUR/ADM/CDKN1A/WSB1/MXI1/VHL/ALDOA/NDST1/RRAGD/NFIL3/HK1/FOSL2/SLC2A3/GLRX/PNRC1/RBPJ/PDK3/ENO1/PGK1/P4HA1/PAM/AKAP12/VEGFA/FOXO3/GAA/SDC4/NR3C1/SELENBP1/PGM1/MAP3K1/GBE1/MAFF/TGFBI/DPYSL4/PDK1/TIPARP/PLIN2/ISG20/HDLBP/SLC6A6/ZNF292/LDHA/DUSP1/GALK1/KLF7/FBP1/PLAC8/TNFAIP3/PGM2"
"GSE79362","HALLMARK_ANDROGEN_RESPONSE",1.63325960107416,0.00134923954801747,0.00306645351822153,"GSR/PDLIM5/SEC24D/ELOVL5/SLC38A2/TMEM50A/VAPA/ABHD2/ACSL3/TSC22D1/UBE2J1/STEAP4/SAT1/PIAS1/SRF/GNAI3/CAMKK2/XRCC5/AKAP12/ACTN1/ABCC4/PTK2B/GUCY1A1/B2M/B4GALT1/APPBP2/FKBP5/SRP19/HPGD/H1-0/NCOA4/HOMER2/ELL2/ARID5B/ANKH/HERC3"
"GSE79362","HALLMARK_ESTROGEN_RESPONSE_EARLY",1.56292752865524,0.00172091058593544,0.00374110996942486,"CD44/JAK2/AFF1/TGM2/SIAH2/MYOF/AMFR/RAB31/TMEM164/MICB/CISH/CANT1/ELOVL5/KLF4/ABHD2/CBFA2T3/CHPT1/KLF10/GAB2/ALDH3B1/SLC24A3/SLC37A1/ZNF185/FHL2/ELF1/RARA/PPIF/MUC1/UGCG/TBC1D30/GLA/ENDOD1/B4GALT1/MINDY1/FKBP5/NRIP1/SLC7A5/TIPARP/INHBB/MAST4/ISG20L2/ANXA9/KAZN/SEMA3B"
"GSE79362","HALLMARK_APICAL_JUNCTION",1.52270211138925,0.0033775764970626,0.00703661770221376,"CD274/MAPK14/ICAM1/MAP3K20/FYB1/MYL9/SDC3/ADAM9/NEXN/MPZL2/CLDN5/VCAN/PIK3CB/SRC/SIRPA/CRAT/CD86/PTK2/SKAP2/CD209/YWHAH/VASP/ADAM15/ZYX/CNN2/GNAI2/TSPAN4/RAC2/SYK/ACTN1/ACTB/PTEN/FSCN1/CTNNA1/TGFBI/RSU1/IRS1/B4GALT1/ICAM5/JAM3/PECAM1/PTPRC/MMP9/INPPL1/CLDN9/ITGA2/ARPC2/CAP1/NECTIN2/GNAI1/NF2/RRAS/MSN"
"GSE79362","HALLMARK_ESTROGEN_RESPONSE_LATE",1.49158515145321,0.00504900625028839,0.0100980125005768,"CD44/JAK2/SNX10/AFF1/SIAH2/PRKAR2B/ZFP36/CA2/MYOF/AMFR/RAB31/MICB/CISH/ELOVL5/KLF4/ABHD2/CHPT1/PRLR/S100A9/ALDH3B1/SLC24A3"
"GSE79362","HALLMARK_TGF_BETA_SIGNALING",1.60842907982225,0.00552803216414353,0.0106308310848914,"FURIN/UBE2D3/TGFB1/RAB31/ACVR1/IFNGR2/XIAP/PPM1A/KLF10/JUNB/TGFBR1/BMPR2/SLC20A1/FKBP1A/CTNNB1/SMURF1/ARID4B/BCAR3/RHOA"
"GSE79362","HALLMARK_P53_PATHWAY",1.43720025248491,0.0109897391478248,0.0203513687922682,"TAP1/FAS/RHBDF2/TCN2/CASP1/TRAFD1/SOCS1/DRAM1/STOM/ATF3/CDKN1A/TGFB1/GM2A/SPHK1/RNF19B/KLF4/UPP1/ZFP36L1/PTPRE/TSC22D1/VWA5A/PPM1D/CTSD/CDKN2B/CEBPA/RB1/VDR/MXD1/SAT1/TGFA/SP1/SERTAD3/IFI30/APP/MAPKAPK3/TAX1BP3/BAK1/CD82/PDGFA/ACVR1B"
"GSE79362","HALLMARK_ANGIOGENESIS",1.60958931508017,0.0123277653734679,0.0220138667383356,"JAG1/LRPAP1/VCAN/PTK2/APP/PDGFA/VEGFA/SPP1/FSTL1/PF4/PGLYRP1/LPL"
"GSE79362","HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.48592486319011,0.0197818765410361,0.0341066836914416,"FBXO6/CLU/PLSCR1/ANXA5/ATF3/PLAUR/JAG1/FADS2/ATF5/NIBAN1/CXCL16/NFIL3/ACSS2/ANTXR2/PNRC1/PDK3"
"GSE79362","HALLMARK_MYC_TARGETS_V1",-1.25512327124279,0.0273909134776925,0.0456515224628208,"DUT/SF3B3/TRA2B/TCP1/GOT2/LSM2/NCBP1/TRIM28/RPS6/CDK4/CDK2/XRCC6/RPS10/RPL6/HNRNPA2B1/CCT2/EIF3J/XPOT/MCM6/TOMM70/SNRPA/GNL3/HSPE1/PHB2/HNRNPD/SRSF3/C1QBP/RPLP0/SNRPD3/NCBP2/POLD2/CSTF2/NOLC1/RPS3/G3BP1/RPL18/POLE3/RPS2/DDX18/CCT3/LSM7/HNRNPA1/MCM5/RPS5/NHP2/HNRNPA3/RPL14/PRPF31/FBL/GLO1/MRPL9/RNPS1/CCT7/BUB3/HSP90AB1/PWP1/IMPDH2/EIF4A1/EXOSC7/RRP9/CAD/PPIA/TARDBP/RFC4/APEX1/HDDC2/SRSF7/RANBP1/CTPS1/SRSF2/SNRPA1/NOP56/MCM7"
"GSE79362","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.38749229794058,0.0336927223719677,0.0543431005999478,"FAS/CD44/MYL9/TGM2/IL15/CD59/SNTB1/SPARC/GADD45B/ITGB5/PLAUR/TGFB1/ITGB3/MYLK/FN1/MMP14/VCAN/CALD1/WIPF1/ACTA2/SAT1/TPM4/VIM/SLC6A8/LOXL1/BASP1/VEGFA/CAPG/TPM1/SDC4/GADD45A/TGFBI/LRP1/SPP1/FSTL1/COPA"
"GSE79362","HALLMARK_PEROXISOME",1.38735370311261,0.0403899721448468,0.0631093314763231,"ACSL4/SOD2/IDH1/BCL10/ATXN1/ACSL1/ALDH1A1/GSTK1/ELOVL5/STS/HSD17B11/SEMA3C/HSD3B7/DLG4/CRAT/CNBP/MVP/ABCD1/SCP2/YWHAH/VPS4B/PABPC1"
"GSE79362","HALLMARK_GLYCOLYSIS",1.30083000152018,0.0526315789473684,0.0797448165869218,"CD44/SDC3/EXT1/HS2ST1/IDH1/UGP2/ERO1A/IL13RA1/CITED2/DSC2/ME2/PKM/MXI1/RBCK1/VCAN/ALDOA/RRAGD/PGAM1/SLC16A3/PYGL/TGFA/B4GALT4/GLRX/COPB2/PDK3/ENO1/PGK1/P4HA1/PPP2CB/PAM/VEGFA/CHPF2/TGFBI/B4GALT1/TALDO1/DPYSL4/LHPP/G6PD/NOL3/GNPDA1/CLDN9/ISG20/HDLBP/ZNF292/LDHA/GALK1/DLD/NDUFV3/QSOX1"
"GSE79362","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",1.39317795276451,0.061046511627907,0.0897742818057456,"GSR/SOD2/SBNO2/MGST1/FES/JUNB/HHEX/MSRA/GLRX/MPO/PRNP/ATOX1/CAT/PRDX6/MBP/G6PD/TXNRD1/GPX3/FTL/CDKN2D/GCLM/PTPA/PRDX1/TXN/SRXN1"
"GSE79362","HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.24825896532605,0.0691747572815534,0.0988210818307906,"RHOT1/CASP7/CPT1A/ATP1B1/TIMM10/IDH1/ATP6V0C/ATP6V1C1/PRDX3/COX15/HADHB/SLC25A20/ALAS1/HADHA/ATP6V0E1/ACAA2/SDHB/ETFDH/ATP6V1E1/ATP6V1D/PDP1/CYB5R3/BCKDHA/PDK4/DECR1/MFN2/ATP6V1H/POR/ATP6AP1"
"GSE79362","HALLMARK_NOTCH_SIGNALING",1.31683999373772,0.1171875,0.159399241968049,"FZD5/JAG1/FZD1/PSENEN/TCF7L2/CUL1/APH1A"
"GSE79362","HALLMARK_MYOGENESIS",1.22369213876743,0.117955439056356,0.159399241968049,"ITGA7/CD36/CLU/SPARC/GADD45B/ITGB5/KLF5/CDKN1A/TGFB1/ACSL1/SPHK1/MYLK/RIT1/TNNT1/MEF2A/CRAT/RB1/GSN/APP/SLC6A8/FOXO4/GAA/TPM3/ATP6AP1/SSPN/GABARAPL2/SYNGR2/PRNP"
"GSE79362","HALLMARK_UV_RESPONSE_DN",1.19210085437556,0.144010767160162,0.189487851526528,"MAPK14/PRKAR2B/ATXN1/FZD2/CITED2/SIPA1L1/RUNX1/PDLIM5/ITGB3/LTBP1/GCNT1/FHL2/NFKB1/MGLL/CACNA1A/LPAR1/DYRK1A/SPOP/PTEN/TGFBR2/NR3C1/IRS1/ANXA4/NEK7/CDC42BPA/RXRA/PIK3CD"
"GSE79362","HALLMARK_PANCREAS_BETA_CELLS",1.31587494983059,0.154657293497364,0.194408740359897,"LMO2/MAFB/VDR"
"GSE79362","HALLMARK_FATTY_ACID_METABOLISM",1.18183745403591,0.155526992287918,0.194408740359897,"UBE2L6/CD36/ACSL4/CPT1A/IDH1/CA2/ACSL1/NBN/PSME1/ALDH1A1/ELOVL5/HSD17B11/CD1D/HADHB/ALDOA/CRAT/GLUL/SERINC1/ACAA2/ETFDH/YWHAH/CBR1/MGLL/DECR1/GPD2/BLVRA"
"GSE79362","HALLMARK_DNA_REPAIR",-1.03377306461009,0.341013824884793,0.415870518152186,"SSRP1/NELFCD/NCBP2/GTF3C5/POLR2F/POLA1/ERCC2/POM121/AK1/SNAPC5/RAD52/NFX1/ITPA/NME3/USP11/ADA/SNAPC4/ERCC1/NT5C/IMPDH2/RPA2/DGCR8/AAAS/RFC4/NPR2/TARBP2/SRSF6/LIG1/POLR1C/POLR2H/ERCC3/TAF1C"
"GSE79362","HALLMARK_MITOTIC_SPINDLE",1.03518129162791,0.387213510253317,0.460968464587282,"LMNB1/KPTN/DOCK4/ABI1/PDLIM5/PCGF5/KIF5B/STAU1/MAPRE1/CTTN/KIF1B/MARCKS/STK38L/GSN/YWHAE/CDC42EP1/ARL8A/MAP3K11/CDK5RAP2/PKD2/PPP4R2/RANBP9/ABR/NEDD9/ARF6/PREX1/PXN/ARHGEF11/NCK2/TLK1/BCL2L11/CDC42/FSCN1/OPHN1/CLIP2/CAPZB/CDC42EP4/AKAP13/CLIP1/CDC42BPA/FGD6/APC/ARFGEF1/RICTOR/SOS1/HOOK3/MARK4/MAP1S/FGD4/ARHGAP27/PAFAH1B1/WASF2/SSH2"
"GSE79362","HALLMARK_G2M_CHECKPOINT",0.993701363107868,0.475903614457831,0.553376295881199,"MAPK14/MAP3K20/H2BC12/PML/LMNB1/EGF/DR1/TGFB1/RAD23B/BCL3/KPNB1/ATF5/KIF5B/TOP1/HIF1A/MARCKS/CUL1"
"GSE79362","HALLMARK_BILE_ACID_METABOLISM",0.980814580459469,0.501404494382023,0.569777834525026,"IDH1/ATXN1/ACSL1/ALDH1A1/GSTK1/BMP6/FADS2/AQP9/HSD17B11/HSD3B7/ABCA1/ABCD1/SCP2/PEX11G/BCAR3/PEX13/CAT/SLC23A2/NEDD4/RXRA/KLF1/PNPLA8"
"GSE79362","HALLMARK_APICAL_SURFACE",0.929316921309594,0.565217391304348,0.628019323671498,"PLAUR/FLOT2/LYN/ADAM10/APP/GHRL/B4GALT1"
"GSE79362","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.900332684526948,0.620481927710843,0.674436877946569,"NKD1/JAG1/NCSTN/FZD1/NUMB/CUL1/ADAM17/RBPJ"
"GSE79362","HALLMARK_HEDGEHOG_SIGNALING",0.874343877061975,0.655763239875389,0.697620467952542,"PML/DPYSL2/ETS2/TLE3/SLIT1/VEGFA/OPHN1/NRP2"
"GSE79362","HALLMARK_KRAS_SIGNALING_DN",-0.880259494182556,0.741935483870968,0.772849462365591,"COQ8A/SGK1/CCDC106/CLSTN3/LYPD3/GTF3C5/GAMT/TAS2R4/TCL1A/IDUA/MSH5/CELSR2/NR4A2/SIDT1/TFCP2L1/ZBTB16/WNT16/STAG3/GPR19/YPEL1/PDE6B"
"GSE79362","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",-0.846441282853981,0.876447876447876,0.894334567803956,"XPOT/EXOSC9/EXOSC5/RPS14/GEMIN4/DDX10/EDC4/WFS1/EIF2AK3/NOLC1/IMP3/ALDH18A1/ARFGAP1/ASNS/NHP2/HSPA9/GOSR2/EXOSC2/LSM4/EIF4A2/EXOC2/BANF1/EIF4A1/EXOSC10/RRP9/CXXC1/DKC1/FUS/NOP56/TSPYL2"
"GSE79362","HALLMARK_SPERMATOGENESIS",0.728180117893674,0.924963924963925,0.924963924963925,"SEPTIN4/PGS1/STAM2/AGFG1/HSPA1L/ACRBP/TLE4/PRKAR2A/CLPB/IP6K1/TALDO1/CHFR/JAM3/CSNK2A2"
