"study_79362","pathway","NES_79362","pvalue_79362","p.adjust_79362","leading_edge_genes_79362","study_94438","NES_94438","pvalue_94438","p.adjust_94438","leading_edge_genes_94438"
"GSE79362","HALLMARK_INTERFERON_GAMMA_RESPONSE",2.76775321604853,1e-10,6.25e-10,"GBP6/CD274/FCGR1A/BATF2/SECTM1/TAP1/APOL6/SERPING1/STAT1/IL15RA/GBP4/P2RY14/TAPBP/IRF1/EPSTI1/FAS/LAP3/UBE2L6/ICAM1/LGALS3BP/WARS1/JAK2/SOCS3/PARP14/VAMP5/CASP1/TRAFD1/LCP2/TRIM21/PLSCR1/FGL2/CASP7/SELP/RTP4/RIPK2/ST8SIA4/IL15/SOCS1/TRIM25/STAT2/PML/PSMB9/CSF2RB/SAMD9L/IFIH1/SAMHD1/CASP4/SP110/IFNAR2/SOD2/TNFSF10/IFITM3/PIM1/PDE4B/PSMB8/MYD88/DDX60/IRF2/MTHFD2/ADAR/PLA2G4A/LATS2/IFI35/TNFAIP6/CXCL10/SPPL2A/IFIT3/EIF4E3/CDKN1A/PSME2/IRF7/LY6E/PSME1/GCH1/HLA-B/ZNFX1/LYSMD2/STAT3/XAF1/NMI/RBCK1/HLA-A/EIF2AK2/TDRD7/IFIT2/PSMB10/PTPN1/UPP1/IFI44/HIF1A/CMPK2/NAMPT/OGFR/BPGM/RNF213/FPR1/OAS3/MARCHF1/CD86/TNFAIP2/MVP/NFKBIA/IFI44L/NLRC5/TOR1B/HELZ2/IFI30/ZBP1/IFI27/BST2/RSAD2/NFKB1/IRF9/OAS2/IL4R","GSE94438",2.54390874070336,1e-10,1e-09,"BATF2/LAP3/SERPING1/CD274/GBP6/FCGR1A/APOL6/VAMP5/SOCS1/UBE2L6/RTP4/PARP14/CASP1/IFI35/BST2/GBP4/WARS1/PSME2/STAT1/TNFSF10/TNFAIP6/EPSTI1/TAP1/SAMD9L/SECTM1/IFITM3/PLSCR1/IRF7/MT2A/STAT2/IFI27/TRAFD1/NMI/CD86/PSMB8/IFIT3/UPP1/PSMB9/CXCL10/ISG15/PML/TRIM21/IRF1/IL15/LY6E/P2RY14/LYSMD2/RIPK2/CASP4/PARP12/PSME1/OASL/ZBP1/IL15RA/IFI30/DHX58/IFIH1/MX1/PLA2G4A/DDX60/IFI44/GCH1/SP110/EIF2AK2/PSMB10/RBCK1/RIGI/IFI44L/IFIT2/ISG20/SOCS3/TDRD7/RSAD2/IRF9/SPPL2A/HLA-A/OAS2/RNF213/FGL2/MTHFD2/SAMHD1/OAS3/HLA-B/CMPK2/EIF4E3/FAS/TOR1B/PSMB2/MYD88/IFIT1/IFITM2/MX2/LGALS3BP/ICAM1/TRIM25/ADAR/HELZ2/OGFR/SLC25A28/ZNFX1/FPR1/USP18/CMTR1/NAMPT/HERC6/IRF5/B2M/BPGM/VAMP8/IRF2/RNF31/XAF1/MVP/CDKN1A/TAPBP/JAK2"
"GSE79362","HALLMARK_INTERFERON_ALPHA_RESPONSE",2.65166419324947,1e-10,6.25e-10,"BATF2/GBP2/TAP1/GBP4/IRF1/EPSTI1/LAP3/UBE2L6/LGALS3BP/WARS1/PARP9/PARP14/CASP1/TRAFD1/TRIM21/CCRL2/PLSCR1/RTP4/RIPK2/IL15/TRIM25/STAT2/TMEM140/PSMB9/SAMD9L/IFIH1/SP110/IFITM3/PSMB8/TRIM5/DDX60/IRF2/ADAR/IFI35/CXCL10/IFIT3/IFITM1/PSME2/IRF7/LY6E/SELL/PSME1/NUB1/NMI/EIF2AK2/MOV10/HLA-C/TDRD7/IFIT2/IFI44/SAMD9/CMPK2/OAS1/CSF1/OGFR/TENT5A/IFI44L/GMPR/HELZ2/IFI30/IFI27/BST2/RSAD2/IRF9/IL4R/ELF1/CD74/OASL/CNP/MX1/RNF31/IFITM2","GSE94438",2.57944628442083,1e-10,1e-09,"BATF2/LAP3/UBE2L6/RTP4/PARP14/GBP2/CASP1/CCRL2/IFI35/BST2/GBP4/WARS1/PSME2/EPSTI1/TAP1/SAMD9L/IFITM3/IFITM1/PLSCR1/IRF7/STAT2/IFI27/PARP9/TRAFD1/NMI/PSMB8/IFIT3/PSMB9/CXCL10/ISG15/TRIM21/IRF1/IL15/SELL/LY6E/OAS1/MOV10/RIPK2/NUB1/PARP12/PSME1/OASL/IFI30/DHX58/IFIH1/MX1/DDX60/IFI44/SP110/EIF2AK2/TMEM140/IFI44L/IFIT2/ISG20/TDRD7/RSAD2/IRF9/TRIM5/LAMP3/CMPK2/UBA7/IFITM2/LGALS3BP/TRIM25/ADAR/HELZ2/OGFR/SLC25A28/HLA-C/USP18/CMTR1/HERC6/B2M/IRF2/RNF31"
"GSE79362","HALLMARK_INFLAMMATORY_RESPONSE",2.61114930597197,1e-10,6.25e-10,"SCARF1/IL15RA/FZD5/CYBB/TAPBP/IRF1/ICAM1/KCNJ2/LCP2/NOD2/MSR1/IFNAR1/CCRL2/RTP4/RIPK2/GNA15/IL15/TLR1/SCN1B/MARCO/TNFSF10/PDE4B/NLRP3/TNFAIP6/CD14/CXCL10/PLAUR/IL1B/ADM/CDKN1A/IFITM1/CLEC5A/FFAR2/SPHK1/IRF7/LY6E/ABI1/SELL/GCH1/ITGB3/LYN/TLR2/NMI/IL18R1/EIF2AK2/AQP9/IRAK2/OSM/IFNGR2/P2RX7/MMP14/TNFRSF1B/HIF1A/PSEN1/NAMPT/PTPRE/CSF1/FPR1/AHR/KIF1B/ABCA1/NFKBIA/PTGER4/MXD1/MEFV/RNF144B/P2RX4/GNAI3/RHOG/SEMA4D/BST2/NFKB1/IL4R/PROK2/PTAFR/CD55/IL18RAP/C3AR1/ADGRE1/CD82/LPAR1/ACVR1B/PTGIR/TNFRSF9/CSF3R","GSE94438",2.13672180088989,1e-10,1e-09,"RTP4/CCRL2/MSR1/BST2/CYBB/MARCO/TNFSF10/TNFAIP6/C3AR1/IFITM1/IRF7/SCARF1/NMI/CXCL10/IRF1/IL15/SELL/LY6E/AXL/RIPK2/ADM/IL15RA/MMP14/GCH1/EIF2AK2/PLAUR/TLR2/LAMP3/FFAR2/OSM/KCNJ2/IL1B/TIMP1/IL18/IFNGR2/FZD5/ICAM1/IL18RAP/FPR1/SLC31A1/SPHK1/NAMPT/CD14/TLR1/PSEN1/AQP9/CDKN1A/TAPBP/TNFRSF1B/IFNAR1/GNA15/STAB1/CD55/IL18R1/MXD1/RNF144B/P2RX4/CXCL9/SGMS2/RHOG/GNAI3/BEST1/KIF1B/HBEGF/EMP3/LCP2/ABCA1/PTPRE/RGS16/SLC31A2/MEFV/SRI/LYN/CSF3R"
"GSE79362","HALLMARK_IL6_JAK_STAT3_SIGNALING",2.44776691778558,1e-10,6.25e-10,"STAT1/IL15RA/IRF1/FAS/CD44/SOCS3/LTBR/CD36/IFNAR1/CCR1/SOCS1/STAT2/CSF2RB/ACVRL1/PIM1/MYD88/IL13RA1/CD14/CXCL10/IL17RA/IL1B/TGFB1/IL10RB/TNFRSF1A/ITGB3/STAT3/LEPR/TLR2/PDGFC/IL18R1/IFNGR2/STAM2/TNFRSF1B/PTPN1/GRB2/IL12RB1/CSF1","GSE94438",2.10738882993114,1.57722029814765e-10,1.31435024845638e-09,"SOCS1/STAT1/STAT2/CD36/CXCL10/IRF1/IL15RA/SOCS3/TLR2/IRF9/CD44/IL12RB1/IL1B/CCR1/ACVRL1/BAK1/FAS/MYD88/LTBR/IFNGR2/CD14/TNFRSF1B/IFNAR1/IFNGR1/IL18R1/CXCL9/TNFRSF1A/PIM1/IL2RG/GRB2/IL13RA1/STAM2/STAT3/IL17RA/CSF3R/HMOX1/IL1R2/LEPR/IL10RB/TNFRSF21/TNFRSF12A/IL3RA/TGFB1/CSF2RA/CSF2RB"
"GSE79362","HALLMARK_COMPLEMENT",2.3732504619754,1e-10,6.25e-10,"SERPING1/C2/IRF1/LAP3/CASP5/JAK2/CASP1/CD36/LCP2/VCPIP1/CLU/PLSCR1/CASP7/ADAM9/GNB4/CTSS/PSMB9/CD59/CASP4/CTSB/ANXA5/PRCP/PIM1/CA2/IRF2/C1QC/PLA2G4A/TIMP2/PLAUR/CD46/IRF7/DOCK4/FCN1/USP8/CASP10/PRKCD/CTSC/LYN/CR1/KYNU/FN1/PLEK/MMP8/MMP14/ITGAM/GRB2/MSRB1/SRC/PSEN1/LAMP2/S100A9/CTSD/EHD1/C1QA/F5/SERPINA1/PIK3CG/ERAP2/CTSH/CTSL/USP15/GCA/DUSP6/GNAI3/CALM3/RHOG/CASP9/PDP1/CD55/LTA4H/PPP4C/C1R/PPP2CB/WAS/CEBPB/CPQ/FCER1G/GNAI2/GPD2","GSE94438",2.07025202795793,1e-10,1e-09,"C1QC/LAP3/SERPING1/C2/C1QA/CASP1/CASP5/KYNU/PLSCR1/IRF7/FCER1G/CD36/S100A9/PSMB9/IRF1/CTSS/CASP4/CTSB/CTSC/MMP14/S100A12/LTA4H/CTSL/PLA2G4A/FCN1/PLAUR/GNB4/ATOX1/CD59/MSRB1/CTSH/TIMP1/LIPA/PLEK/DOCK4/CASP10/CTSO/SRC/PRCP/CTSD/SERPINA1/GCA/LRP1/IRF2/PSEN1/ANG/ADAM9/JAK2/USP15/CEBPB/LAMP2/CD55/VCPIP1/ANXA5/DUSP6/CPQ/ITGAM/RHOG/STX4/GNAI3/MAFF/PIM1/LGALS3/LCP2/F8/CR1/GRB2/CASP7/F5/TIMP2/GPD2/PLA2G7/CLU/ME1/PPP4C/LYN/NOTCH4/PRKCD/RABIF/GNGT2/CSRP1/CPM/GNB2/PPP2CB/CD46/APOBEC3G"
"GSE79362","HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.25501959840223,1e-10,6.25e-10,"TAP1/IL15RA/IRF1/ICAM1/CD44/SOCS3/CCRL2/RIPK2/STAT5A/FUT4/DRAM1/IFIH1/PFKFB3/SOD2/F2RL1/PDE4B/ZFP36/ATF3/GADD45B/NFE2L2/TNFAIP6/CXCL10/PLAUR/IL1B/CDKN1A/RELB/JAG1/SPHK1/TANK/RNF19B/BCL6/B4GALT5/PDLIM5/GCH1/TRIB1/TNIP1/BCL3/TLR2/KYNU/KLF4/IFNGR2/PLEK/IFIT2/NFKBIE/KLF10/JUNB/NAMPT/SPSB1/PTPRE/TSC22D1/CSF1/EHD1/NFIL3/ETS2/FOSL2/CFLAR/ABCA1/TNFAIP2/MARCKS/NFKBIA/DENND5A/PTGER4/MXD1/SAT1/SQSTM1/SLC2A3/MAP3K8/PNRC1/EGR2/NFKB1/SNN/MAP2K3/LITAF/EGR1/MCL1/CEBPB/TNFRSF9/PANX1/VEGFA","GSE94438",1.97088620963609,1e-10,1e-09,"ATF3/EGR1/SAT1/CCRL2/TNFAIP6/KYNU/TAP1/DRAM1/GADD45B/CXCL10/IRF1/RIPK2/IL15RA/IFIH1/EGR2/GCH1/RIGI/FOS/IFIT2/SOCS3/PLAUR/TLR2/CD44/DUSP1/IER2/JUNB/IL1B/G0S2/IL18/IFNGR2/PLEK/ICAM1/SPHK1/CEBPD/SLC2A3/NAMPT/NFE2L2/BCL2A1/B4GALT5/EGR3/EIF1/CDKN1A/PFKFB3/FOSB/CEBPB/NFKBIE/PPP1R15A/NFIL3/SLC16A6/ZFP36/MCL1/RELB/MXD1/MARCKS/F2RL1/MAFF/HBEGF/BCL3/FUT4/ABCA1/PTPRE/PDLIM5/SLC2A6/CFLAR/TNFAIP2/LITAF/TIPARP/STAT5A/TRIB1/PTGS2/IER3/JAG1/FOSL2/NINJ1/RNF19B/B4GALT1/TNIP1/TANK/DUSP5/PDE4B/TNFAIP3/SERPINB2/NFKBIA/DENND5A/FOSL1/KLF4/SERPINB8/SDC4/NFKB2/PER1/LDLR/BCL6/ETS2/GADD45A"
"GSE79362","HALLMARK_HEME_METABOLISM",2.15990336769559,1e-10,6.25e-10,"RAP1GAP/BACH1/CTSB/RIOK3/CA2/BNIP3L/MARK3/HTATIP2/LMO2/NFE2/HEBP1/CIR1/ERMAP/SLC66A2/SLC25A37/DCAF11/MPP1/SPTB/SMOX/MBOAT2/MXI1/LRP10/ALAS2/SLC22A4/XK/BMP2K/GDE1/OSBP2/TOP1/TRIM58/CAST/LAMP2/BPGM/ADIPOR1/PICALM/TAL1/SDCBP/DCAF10/GLRX5/HDGF/TRIM10/USP15/EPOR/RBM38/SLC30A1/SLC6A8/AHSP/MARCHF8/PPP2R5B/EIF2AK1/SLC6A9/SLC4A1/MARCHF2/MAP2K3/TNS1/NARF/TRAK2/ANK1/TMCC2/DMTN/BLVRA/FOXO3/GYPC/NR3C1/ATP6V0A1/SELENBP1/GAPVD1/SLC7A11/KEL/VEZF1/ENDOD1/UBAC1/BSG/XPO7/CAT/H1-0/CTNS/NCOA4/NEK7/YPEL5/KLF1/E2F2/MINPP1/SYNJ1/SNCA/MKRN1/EPB42/ACP5/CA1/ELL2/LPIN2/BLVRB/KDM7A/UCP2/DCUN1D1/FECH/HAGH/RNF123/ARHGEF12/GATA1/OPTN/GCLM/KLF3","GSE94438",1.65954784023487,6.39669793717362e-06,2.46026843737447e-05,"HEBP1/BLVRA/CTSB/LMO2/HBD/HTATIP2/HBB/CA1/TENT5C/BNIP3L/BPGM/GDE1/CIR1/DCAF11/USP15/LAMP2/MBOAT2/CAST/RIOK3/AHSP/CLIC2/ERMAP/NFE2/MGST3/E2F2/MPP1/FOXO3/RAP1GAP/CTSE/GLRX5/PICALM/SLC25A37/MARK3/PGLS/TSPO2/ELL2/SDCBP/LRP10/ATP6V0A1/TRIM58/SLC22A4/BACH1/TMEM9B/BCAM/SLC66A2/YPEL5/CCND3/UBAC1/SELENBP1/BLVRB/TMCC2/TOP1/OSBP2/XK/HBZ/HDGF/NARF/UROD/CCDC28A/BSG/SNCA/HMBS/MARCHF8/MYL4/HBQ1/BMP2K/TRIM10/FECH/TSPAN5/CA2/MXI1/EPB42/TAL1/SLC30A1/SPTA1/ALAS2/MARCHF2/ARHGEF12/XPO7/MAP2K3/GYPB/NCOA4/MKRN1/HTRA2/DCUN1D1/KLF1"
"GSE79362","HALLMARK_ALLOGRAFT_REJECTION",2.12098556689088,1e-10,6.25e-10,"GBP2/TAP1/STAT1/C2/TAP2/TAPBP/CCR2/FAS/ICAM1/WARS1/JAK2/FYB1/LCP2/HLA-E/CCR1/RIPK2/ST8SIA4/IL15/SOCS1/DEGS1/CTSS/TLR1/IFNAR2/BCL10/ITGB2/NLRP3/IGSF6/IL1B/TGFB1/IRF7/ELF4/ABI1/LYN/SRGN/BCL3/TLR2/HLA-A/IFNGR2/UBE2D1/CD1D/PSMB10/GPR65/GCNT1/HIF1A/IL12RB1","GSE94438",1.86286579235974,5.18672227512217e-10,3.70480162508726e-09,"C2/SOCS1/GBP2/WARS1/STAT1/TAP1/IRF7/TAP2/CD86/IL15/RIPK2/CTSS/PSMB10/TLR2/HLA-E/HLA-A/CD1D/IL12RB1/IL1B/DEGS1/CCR1/FAS/TIMP1/CCR2/IL18/IGSF6/IFNGR2/LY86/ICAM1/IL18RAP/SRGN/B2M/TLR1/UBE2D1/GPR65/TAPBP/HLA-DRA/JAK2/FYB1/STAB1/IFNGR1/CAPG/CXCL9/BCL10/CFP/HLA-DMB/DYRK3/IL2RG/BCL3/LCP2/HLA-DMA/TLR6/KRT1/IFNAR2/ITGB2/EIF5A/ELF4/LYN/NCF4/SPI1/ST8SIA4/CCND3/NLRP3"
"GSE79362","HALLMARK_APOPTOSIS",2.14791773671012,1.24903080818102e-10,6.9390600454501e-10,"TAP1/IRF1/FAS/CD44/CASP1/DPYD/CLU/CASP7/GNA15/CASP4/GSR/RNASEL/SOD2/TNFSF10/IFITM3/BCL10/ATF3/GADD45B/BNIP3L/TIMP2/CD14/IL1B/CDKN1A/GCH1/HGF/DAP/XIAP/PSEN1/ETF1/PPT1/CFLAR/PEA15/PTK2/SAT1/SQSTM1/PAK1/DNAJA1/GSN/APP/PPP3R1/DNAJC3/BCL2L1/PPP2R5B/CASP9/SLC20A1/BMF/RARA/MCL1/CYLD/NEDD9","GSE94438",1.83246868760993,1.15651536033683e-07,5.78257680168415e-07,"ATF3/CASP1/SAT1/TNFSF10/TAP1/IFITM3/GADD45B/IRF1/CASP4/GCH1/ISG20/CD44/IL1B/FAS/TIMP1/IL18/BNIP3L/CD14/RNASEL/PSEN1/EGR3/CDKN1A/GNA15/DDIT3/VDAC2/IFNGR1/PSEN2/MCL1/BID/BCL10/ETF1/TSPO/LGALS3/CASP7/CFLAR/TIMP2/PPP3R1/CLU/BCL2L11/PEA15/DNAJA1/HMOX1/DNAJC3/DPYD/PPT1/HGF/PAK1/IER3/TNFRSF12A/TXNIP/RARA/BAX/AIFM3/XIAP/GSR/BRCA1"
"GSE79362","HALLMARK_MYC_TARGETS_V2",-2.06667463569309,4.63479578004234e-06,2.31739789002117e-05,"PPRC1/EXOSC5/GNL3/MPHOSPH10/HSPE1/DCTPP1/NOLC1/IMP4/DDX18/MCM5/NDUFAF4/PPAN/SLC29A2/SUPV3L1/TCOF1/MYBBP1A/UTP20/UNG/RRP9/NOP2/DUSP2/WDR74/PUS1/LAS1L/TBRG4/NOP56","GSE94438",-1.79549415547026,0.000854388107492837,0.00194179115339281,"HSPD1/TFB2M/LAS1L/MPHOSPH10/NIP7/DDX18/MCM5/GRWD1/PPAN/TMEM97/TCOF1/WDR43/SUPV3L1/PPRC1/PUS1/RCL1/MYBBP1A/MYC/NOP2/NOLC1/SLC29A2/UTP20/UNG"
"GSE79362","HALLMARK_XENOBIOTIC_METABOLISM",1.822317990657,7.6352801302084e-06,3.47058187736745e-05,"RAP1GAP/FAS/SLC6A12/CD36/PGRMC1/ACP2/GSR/PROS1/IDH1/CA2/TNFRSF1A/PDLIM5/GCH1/ARG2/SMOX/ELOVL5/TMBIM6/KYNU/AQP9/GSTO1/PSMB10/UPP1/ALAS1/CNDP2/MAN1A1/ETS2/ABCC3/PGD/ALDH2/PINK1/SLC1A5/ETFDH/SPINT2/KARS1/CBR1/SLC22A1/DDAH2/PDK4","GSE94438",1.60352929458197,0.000233936297004655,0.000556991183344418,"KYNU/MT2A/CD36/UPP1/GSTO1/IDH1/ACP2/GCH1/PSMB10/SLC6A12/PROS1/CBR1/CNDP2/FAS/SERTAD1/AQP9/KARS1/DDAH2/SLC35B1/TNFRSF1A/ACSM1/ALDH2/RAP1GAP/SLC1A5/PDLIM5/PGRMC1/PGD/CES1/DHRS7/SSR3/TMBIM6/HMOX1/PAPSS2/SLC22A1/NINJ1/FBP1/ETFDH/BLVRB/HPRT1/CYP27A1/GSR/COMT/ARG1/CDA/CA2/TMEM176B/PDK4/EPHA2/ETS2/PTGES3/MAN1A1/ACOX1/CSAD/FAH"
